SMILES,tpsa,tpsa_bounds,logp,logp_bounds,molweight,molweight_bounds,all_bounds
O=C(Cn1c(C(=O)NC2CCN(C3CC3)CC2)nc2c(C(=O)OCC3CC3)cccc21)Nc1ccc(Cl)cn1,118.45,False,3.6468,True,550.2095312,False,False
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccccc2)CC1,66.37,False,3.8826,True,418.2368762,True,False
O=C(CCNC(=O)c1ccc(Cl)s1)Nc1ccc(N2CCOCC2=O)c(F)c1,87.74,False,2.6624,True,425.0612329,False,False
CC(C)N1CCC(NC(=O)c2cc(C(=O)N3CCCC3C(F)(F)F)nn2Cc2cc(-c3ccc(Cl)s3)on2)CC1,96.5,False,5.0708,False,598.1740722,False,False
N=C(N)c1ccc(N)c(CN2CCC(NS(=O)(=O)c3ccc(-c4ccon4)s3)C2=O)c1,168.4,False,1.34877,False,460.0987451,False,False
CC(C)CN1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,63.3,False,5.9097,False,496.1699748,False,False
CC(OC(=O)OC1CCCCC1)OC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,153.98,False,5.3147,False,668.2725253,False,False
CC(C)N1CCC(NC(=O)c2nn(CC(=O)Nc3ccc(Cl)cn3)c3ccccc23)CC1,92.15,False,3.326,True,454.1884018,False,False
O=C(NCCS(=O)(=O)NC1CCN(c2ccncc2)CC1)c1ccc(Cl)s1,91.4,False,2.1147,True,428.0743602,False,False
Nc1ccc2ccc(CN3CCC(NS(=O)(=O)c4cc5ccccc5s4)C3=O)cc2n1,105.39,False,3.1111,True,452.0976825,False,False
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,109.83,False,4.8112,False,570.1703688,False,False
CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)N4CC(O)C4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,116.73,False,3.8738,True,582.1816022,False,False
O=C(NC1CC1)c1csc(CN2CCN(S(=O)(=O)c3cc4ccc(Cl)nc4s3)CC2=O)n1,112.57,False,2.3315,True,511.0209447,False,False
CC(C)C(NC(=O)c1cc(C(=O)NC2CCN(C(C)C)CC2)n(Cc2cc(-c3ccc(Cl)s3)on2)n1)C(=O)O,142.59,False,3.7429,True,576.1921668,False,False
CCOCC(O)COc1ccc2c(c1)nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,130.84,False,3.1022,True,572.251396,False,False
CC(C)N1CCC(NC(=O)c2cc3c(Cl)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,63.3,False,6.3155,False,516.1153524,False,False
CC(C)N1CCC(NC(=O)c2cc(C(=O)N3CCC(O)C3)nn2Cc2cc(-c3ccc(Cl)s3)on2)CC1,116.73,False,3.1107,True,546.1816022,False,False
COC(=O)c1ccc2c(C(=O)NC3CCN(C(C)C)CC3)nn(Cc3cc(-c4ccc(Cl)s4)on3)c2c1,102.49,False,4.8437,False,541.1550531,False,False
O=C(NCCS(=O)(=O)NC1CCN(C(=O)c2ccncc2)CC1)c1ccc(Cl)s1,108.47,False,1.7505,False,456.0692748,False,False
CC(C)N1CCC(NC(=O)c2cc(C(=O)NC(C(=O)O)c3ccccc3)nn2CC(=O)Nc2ccc(Cl)cn2)CC1,158.55,False,2.7285,True,581.2153448,False,False
CC(C)N1CCC(NC(=O)c2nc3cc(S(=O)(=O)CCO)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,146.52,False,2.092,True,562.1765168,False,False
CC(C)C(NC(=O)c1cc(C(=O)NC2CCN(C(C)C)CC2)n(CC(=O)Nc2ccc(Cl)cn2)n1)C(=O)O,158.55,False,2.0118,True,547.2309949,False,False
O=C(NCCS(=O)(=O)NC1CCN(C(=O)C2CC2)CC1)c1ccc(Cl)s1,95.58,False,1.4517,False,419.0740259,True,False
CNC(=O)c1cc(C(=O)NC2CCN(C(C)C)CC2)nn1Cc1cc(-c2ccc(Cl)s2)on1,105.29,False,3.2635,True,490.1553874,False,False
COc1cccc(-c2ccc(S(=O)(=O)NC3CCN(Cc4cccc(C(=N)N)c4)C3=O)cc2)n1,138.47,False,2.12067,True,479.1627253,False,False
CC(C)N1CCC(NC(=O)c2nc3cccc(C(=O)O)c3n2Cc2cc3ccc(Cl)cc3s2)CC1,87.46,False,5.2535,False,510.1492394,False,False
CC(C)N1CCC(NC(=O)c2nc3cc(S(=O)(=O)CCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,130.56,False,3.8231,True,591.1376887,False,False
CC(C)N1CCC(NC(=O)c2cc(-c3nnc(O)o3)nn2Cc2cc(-c3ccc(Cl)s3)on2)CC1,135.34,False,3.6595,True,517.1299009,False,False
CC(C)N1CCC(NC(=O)c2nc(C(=O)N3CC(O)C3)cn2Cc2cc(-c3ccc(Cl)s3)on2)CC1,116.73,False,2.7206,True,532.1659521,False,False
COC(=O)c1cnc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,102.49,False,4.8437,False,541.1550531,False,False
O=C(O)C1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CC(=O)N1Cc1cc2cnccc2[nH]1,123.67,False,2.9173,True,504.0328893,False,False
O=C(O)c1ccc2c(c1)cc(C(=O)NC1CCN(C3CC3)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,100.6,False,5.1143,False,524.128504,False,False
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)NCCO)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,128.59,False,2.6531,True,540.2251812,False,False
O=C(Cn1c(C(=O)Nc2ccc(-n3ccc(=O)cc3)cc2)nc2ccccc21)Nc1ccc(Cl)cn1,110.91,False,4.1266,False,498.1207161,False,False
CC(C)N1CCC(NC(=O)c2nc3c(C(=O)N4CCOCC4)cccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,121.69,False,2.7984,True,567.2360802,False,False
Nc1ncnc2cc(CN3CCN(S(=O)(=O)c4cc5ccc(Cl)cc5[nH]4)CC3=O)ccc12,125.28,False,2.3798,True,470.0927871,False,False
